Tank,MLI,Pitch,Roll,Reading,Qty
Left,2,-1.5,-1.5,0.0,2120.0
Left,2,-1.5,-1.5,20.0,2280.0
Left,2,-1.5,-1.5,40.0,2440.0
Left,2,-1.5,-1.5,60.0,2610.0
Left,2,-1.5,-1.5,80.0,2790.0
Left,2,-1.5,-1.5,100.0,2970.0
Left,2,-1.5,-1.5,120.0,3150.0
Left,2,-1.5,-1.5,140.0,3340.0
Left,2,-1.5,-1.5,160.0,3540.0
Left,2,-1.5,-1.5,180.0,3750.0
Left,2,-1.5,-1.5,200.0,3960.0
Left,2,-1.5,-1.5,220.0,4170.0
Left,2,-1.5,-1.5,240.0,4390.0
Left,2,-1.5,-1.5,260.0,4610.0
Left,2,-1.5,-1.5,280.0,4830.0
Left,2,-1.5,-1.5,300.0,5050.0
Left,2,-1.5,-1.5,320.0,5250.0
Left,2,-1.5,-1.5,340.0,5440.0
Left,2,-1.5,-1.5,348.0,7110.0
Left,2,-1.5,-1.0,0.0,2230.0
Left,2,-1.5,-1.0,20.0,2390.0
Left,2,-1.5,-1.0,40.0,2550.0
Left,2,-1.5,-1.0,60.0,2720.0
Left,2,-1.5,-1.0,80.0,2890.0
Left,2,-1.5,-1.0,100.0,3060.0
Left,2,-1.5,-1.0,120.0,3250.0
Left,2,-1.5,-1.0,140.0,3440.0
Left,2,-1.5,-1.0,160.0,3630.0
Left,2,-1.5,-1.0,180.0,3830.0
Left,2,-1.5,-1.0,200.0,4030.0
Left,2,-1.5,-1.0,220.0,4240.0
Left,2,-1.5,-1.0,240.0,4450.0
Left,2,-1.5,-1.0,260.0,4660.0
Left,2,-1.5,-1.0,280.0,4850.0
Left,2,-1.5,-1.0,300.0,5040.0
Left,2,-1.5,-1.0,320.0,5210.0
Left,2,-1.5,-1.0,340.0,5370.0
Left,2,-1.5,-1.0,348.0,7110.0
Left,2,-1.5,-0.5,0.0,2340.0
Left,2,-1.5,-0.5,20.0,2490.0
Left,2,-1.5,-0.5,40.0,2660.0
Left,2,-1.5,-0.5,60.0,2820.0
Left,2,-1.5,-0.5,80.0,2990.0
Left,2,-1.5,-0.5,100.0,3170.0
Left,2,-1.5,-0.5,120.0,3350.0
Left,2,-1.5,-0.5,140.0,3530.0
Left,2,-1.5,-0.5,160.0,3720.0
Left,2,-1.5,-0.5,180.0,3920.0
Left,2,-1.5,-0.5,200.0,4110.0
Left,2,-1.5,-0.5,220.0,4310.0
Left,2,-1.5,-0.5,240.0,4500.0
Left,2,-1.5,-0.5,260.0,4680.0
Left,2,-1.5,-0.5,280.0,4860.0
Left,2,-1.5,-0.5,300.0,5020.0
Left,2,-1.5,-0.5,320.0,5170.0
Left,2,-1.5,-0.5,340.0,5320.0
Left,2,-1.5,-0.5,348.0,7110.0
Left,2,-1.5,0.0,0.0,2450.0
Left,2,-1.5,0.0,20.0,2600.0
Left,2,-1.5,0.0,40.0,2760.0
Left,2,-1.5,0.0,60.0,2920.0
Left,2,-1.5,0.0,80.0,3090.0
Left,2,-1.5,0.0,100.0,3270.0
Left,2,-1.5,0.0,120.0,3440.0
